author,viewcount,num,av,max_viewcount,fans
361085524,577983,44,41124908,257479,
190686143,577722,116,43668654,129754,
18993724,576581,80,37948282,186993,
121897233,575637,4,35804909,399996,
277047467,575236,23,39150469,254677,
270745867,574937,16,35250203,258158,
198822122,574304,2,44100676,574170,
391602575,573293,7,39287381,331598,
168613634,573094,13,37940416,488916,
142635731,573061,206,41414316,290839,
281413891,572618,3,51182136,403644,
335087376,572073,1,37351374,572073,
392321358,571713,107,39308164,182473,
224599142,569147,39,36874847,100489,
329295104,569086,47,35089483,77887,
358198251,568763,3,36920881,493544,
25668940,568008,25,36679467,152899,
388238456,566411,35,37227577,514264,
352504973,564830,25,36730228,233377,
328271802,563015,16,47252297,279234,
21449470,561720,46,48540302,173735,
24700545,560097,9,50199095,332907,
32912448,560082,7,46360913,484415,
